,Activity Period,Operating Airline,Operating Airline IATA Code,GEO Region,Terminal,Boarding Area,Passenger Count,Year,Month,cluster,Activity Period,Operating Airline,GEO Region,Boarding Area,Passenger Count,Year,Month
75,200507,SkyWest Airlines,OO,US,Terminal 1,C,7262,2005,July,0,200507,SkyWest Airlines,US,C,7262,2005,July
76,200507,SkyWest Airlines,OO,US,Terminal 1,C,6586,2005,July,0,200507,SkyWest Airlines,US,C,6586,2005,July
77,200507,SkyWest Airlines,OO,US,Terminal 3,F,103279,2005,July,1,200507,SkyWest Airlines,US,F,44836,2005,July
78,200507,SkyWest Airlines,OO,US,Terminal 3,F,102023,2005,July,1,200507,SkyWest Airlines,US,F,44836,2005,July
79,200507,SkyWest Airlines,OO,Canada,Terminal 3,F,3688,2005,July,0,200507,SkyWest Airlines,Canada,F,3688,2005,July
80,200507,SkyWest Airlines,OO,Canada,Terminal 3,F,3633,2005,July,0,200507,SkyWest Airlines,Canada,F,3633,2005,July
81,200507,Sun Country Airlines,SY,US,Terminal 1,B,4827,2005,July,0,200507,Sun Country Airlines,US,B,4827,2005,July
82,200507,Sun Country Airlines,SY,US,Terminal 1,B,4784,2005,July,0,200507,Sun Country Airlines,US,B,4784,2005,July
83,200507,TACA,TA,Central America,International,G,6324,2005,July,0,200507,TACA,Central America,G,6324,2005,July
84,200507,TACA,TA,Central America,International,G,7031,2005,July,0,200507,TACA,Central America,G,7031,2005,July
85,200507,US Airways,US ,US,Terminal 1,A,46042,2005,July,1,200507,US Airways,US,A,44836,2005,July
86,200507,US Airways,US ,US,Terminal 1,A,45553,2005,July,1,200507,US Airways,US,A,44836,2005,July
87,200507,US Airways,US ,US,Terminal 1,B,38951,2005,July,1,200507,US Airways,US,B,38951,2005,July
88,200507,US Airways,US ,US,Terminal 1,B,37848,2005,July,1,200507,US Airways,US,B,37848,2005,July
89,200507,United Airlines,UA,US,Terminal 1,B,62178,2005,July,1,200507,United Airlines,US,B,44836,2005,July
90,200507,United Airlines,UA,US,Terminal 1,B,60939,2005,July,1,200507,United Airlines,US,B,44836,2005,July
91,200507,United Airlines - Pre 07/01/2013,UA,US,Terminal 3,E,58767,2005,July,1,200507,United Airlines - Pre 07/01/2013,US,E,44836,2005,July
92,200507,United Airlines - Pre 07/01/2013,UA,US,Terminal 3,E,58277,2005,July,1,200507,United Airlines - Pre 07/01/2013,US,E,44836,2005,July
93,200507,United Airlines - Pre 07/01/2013,UA,US,Terminal 3,F,443656,2005,July,1,200507,United Airlines - Pre 07/01/2013,US,F,44836,2005,July
94,200507,United Airlines - Pre 07/01/2013,UA,US,Terminal 3,F,421802,2005,July,1,200507,United Airlines - Pre 07/01/2013,US,F,44836,2005,July
95,200507,United Airlines - Pre 07/01/2013,UA,US,Terminal 3,F,11388,2005,July,0,200507,United Airlines - Pre 07/01/2013,US,F,11388,2005,July
96,200507,United Airlines - Pre 07/01/2013,UA,Asia,International,G,77658,2005,July,1,200507,United Airlines - Pre 07/01/2013,Asia,G,44836,2005,July
97,200507,United Airlines - Pre 07/01/2013,UA,Asia,International,G,68278,2005,July,1,200507,United Airlines - Pre 07/01/2013,Asia,G,44836,2005,July
98,200507,United Airlines - Pre 07/01/2013,UA,Asia,International,G,3953,2005,July,0,200507,United Airlines - Pre 07/01/2013,Asia,G,3953,2005,July
